Fold #,Percentile,Predicted Depth,Reranked All Metric Value,Initial Metric Value,Maximum Metric Value,Depth of Maximum Metric Value,Metric Value At Predicted Depth,Ratio (Metric at Depth / Reranked All),Ratio (Metric at Depth / Maximum Metric Value)
0,25,12,3.0070698857492903,3.0070698857492903,3.538553940861261,288,2.1309297535714578,0.7086399167741593,0.6022035524072874
0,25,12,3.18945462469975,3.18945462469975,3.18945462469975,774,1.923342259573597,0.603031704755686,0.603031704755686
0,25,12,3.7533279132226793,3.7533279132226793,4.455645597242949,15,4.152145889803314,1.1062571631899334,0.9318842352211688
0,25,12,5.14527201342591,5.14527201342591,8.08511611204912,322,7.859116836141369,1.5274443830440916,0.9720474916159896
0,25,12,5.024407690378696,5.024407690378696,5.024407690378696,79,2.7073230812473543,0.5388342762136208,0.5388342762136208
0,25,12,1.2317065537373744,1.2317065537373744,2.9671660104124484,56,2.3774233233398783,1.9301864686244048,0.8012437844721086
0,25,12,4.997288266945328,4.997288266945328,5.271918212141468,12,5.271918212141468,1.0549557941279244,1.0
0,25,12,2.7201861405678747,2.7201861405678747,4.092919138072481,51,3.430676558073393,1.2611918379075315,0.8381979810353731
0,25,12,3.1567065308538043,3.1567065308538043,5.148089041191962,18,4.671548182954925,1.4798804188146677,0.9074334467752908
0,25,12,4.297596420238125,4.297596420238125,9.13420902987709,17,8.223748982052085,1.9135693950518546,0.9003241501429428
0,25,27,6.495452032393595,6.495452032393595,7.131473078933742,120,3.1651190627541146,0.48728233954608363,0.44382402173035274
0,25,27,6.388615819488755,6.388615819488755,9.148003145450357,113,8.620045287031537,1.349282149778941,0.9422870926010347
0,25,27,6.717295890504302,6.717295890504302,6.717295890504302,540,6.174489091659804,0.9191926620931169,0.9191926620931169
0,25,27,6.8326241644062335,6.8326241644062335,6.8326241644062335,138,5.660873493095437,0.8285064942668885,0.8285064942668885
0,25,27,6.922818895979957,6.922818895979957,6.922818895979957,861,4.130929753571458,0.5967120930998594,0.5967120930998594
