query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_monoelectra	max_dcg_value_monoelectra_depth	initial_splade_retrieved_dcg_value	monoelectra_reranked_all_dcg_value
1046750	19.321947	68.12577	4.4628024	7.9934998	10.903754	19.321947	19.321947	0.008581074	8.81843	1.0381484	1.0381484	13.130678014265037	12	10.999748260693579	13.130678014265037
1046828	34.398056	121.98869	2.4172332	9.133416	14.676343	34.398056	34.398056	0.010851893	10.725088	1.8694426	1.6498321	4.6553374439501525	44	3.7104045217639126	4.33740285538877
1047561	16.603628	57.56949	2.1392934	8.925202	9.323267	16.603628	16.603628	0.010323578	7.796191	1.0152593	1.0152593	10.765219860271252	18	9.600715122312987	7.783445350836658
1047663	24.105312	86.24895	2.5771682	8.830109	13.940803	24.105312	24.105312	0.011884597	8.727807	2.0048265	1.4094837	2.7073230812473543	0	2.7073230812473543	1.0352062611770096
1048273	10.5382595	34.880066	0.8342762	8.6129	23.940481	10.5382595	10.5382595	0.009295754	7.5502295	1.1548579	1.1548579	13.630678014265037	0	13.630678014265037	13.630678014265037
1048549	97.58048	329.59567	9.416169	11.169217	13.198822	97.58048	97.58048	0.011347163	19.616772	2.2892044	2.1931956	11.578501186514847	11	10.471968919283661	10.98840636453298
1048621	34.739544	117.116875	4.507882	7.462287	6.3751364	34.739544	34.739544	0.009325635	9.856844	1.2344545	1.2274395	4.415937731277994	11	3.435596059558872	2.5070698857492903
1048730	6.253002	22.602531	0.89181423	6.8068013	12.7684145	6.253002	6.253002	0.0109246485	4.5999236	0.65437806	0.65437806	13.630678014265037	0	13.630678014265037	13.630678014265037
1050353	108.32796	402.61835	17.33779	13.34022	16.769108	108.32796	108.32796	0.009837479	25.090313	2.6308165	2.6308165	13.630678014265037	0	13.630678014265037	13.630678014265037
1051333	7.1764393	25.288086	0.9821005	5.182463	15.586873	7.1764393	7.1764393	0.011403147	4.354628	0.91712826	0.91712826	13.630678014265037	0	13.630678014265037	13.630678014265037
1051454	674.93396	2549.7356	39.50342	29.681826	27.35448	674.93396	674.93396	0.011410572	87.51095	8.540186	3.4542365	7.880154455364324	0	7.880154455364324	7.406391654769065
1051491	93.2283	312.5664	7.658449	8.54343	10.959629	93.2283	93.2283	0.00946723	17.733023	2.4086142	1.9836862	7.108599225159053	47	6.631473078933742	7.108599225159053
1051755	25.812315	87.03582	2.461386	7.089209	11.762793	25.812315	25.812315	0.010129591	7.8616114	1.6135238	1.2641982	4.8770711884305795	0	4.8770711884305795	3.8233731975204703
1051877	12.209237	42.824646	2.5319624	16.798729	8.949562	12.209237	12.209237	0.008971027	8.551539	0.58378255	0.58378255	13.630678014265037	12	12.763483535311373	13.630678014265037
1052350	36.15869	127.77195	4.2459393	10.152093	11.779147	36.15869	36.15869	0.009165475	11.230975	1.4371022	1.3456137	13.630678014265037	20	10.510460935750288	13.341613187947148
1052548	67.02055	229.90039	4.0972676	16.684402	12.827908	67.02055	67.02055	0.009220045	16.559076	2.5435836	1.9196918	5.135849255056936	11	4.541026122042574	5.135849255056936
1052985	177.41869	619.8054	16.099165	8.840339	14.796598	177.41869	177.41869	0.007016424	23.372631	3.9271185	3.07416	9.88181217290716	11	9.580782177243178	9.881812172907159
1053104	29.774096	100.44217	7.9787784	7.850812	11.354987	29.774096	29.774096	0.009432394	10.2670765	1.159903	1.159903	10.60155355729844	65	9.881812172907159	10.60155355729844
1053445	51.84103	172.98317	12.419137	9.387861	12.360462	51.84103	51.84103	0.010461139	14.163314	1.3028312	1.3028312	10.560811246976144	188	8.094483671549147	10.239443082988906
1053465	13.150159	47.540115	1.1826097	17.036232	11.111515	13.150159	13.150159	0.009614472	8.747061	0.7235613	0.7235613	12.630678014265037	21	7.567233641651266	12.630678014265037
1054018	13.296667	44.97776	1.2980193	5.854627	9.65375	13.296667	13.296667	0.010129945	5.9219995	1.0527234	0.99646497	10.127953607766282	0	10.127953607766282	10.127953607766282
1055009	9.102267	33.149906	0.98894477	8.200686	11.992496	9.102267	9.102267	0.009716596	5.1952176	1.1600916	0.91111296	8.296708734302124	91	5.240871624881532	8.296708734302124
1055035	38.084835	132.78703	3.0791464	7.7780275	17.024221	38.084835	38.084835	0.009164766	11.020323	1.9217416	1.8907762	11.864744166147783	13	10.890213160362878	10.290649321563201
